blID,INV NO,DUE DATE, INV AMT , BALANCE 
6199809210,2082987604,7/8/2019,2972,2972
6199809220,2082987559,7/8/2019,2972,2972
6199809310,2082993059,7/8/2019,3060,3060
6199808970,2082987611,7/8/2019,3402,3402
6199808980,2082987655,7/8/2019,3402,3402
6199808990,2082987589,7/8/2019,3402,3402
6214425960,2082992880,7/8/2019,3405,3405
6214461070,2082987722,7/8/2019,3455,3455
6205457560,2082992858,7/8/2019,3582,3582
6202975420,2082992873,7/8/2019,3645,3645
6214460110,2082987633,7/8/2019,3690,3690
6199809000,2082987569,7/8/2019,5724,5724
6199807690,2082989328,7/8/2019,6375,6375
6205485330,2082994889,7/8/2019,6575.4,6575.4
6205486110,2082994882,7/8/2019,12550.8,12550.8
6880404070,2082987780,7/8/2019,17085,17085
6205335820,2082995043,7/9/2019,2425,2425
6214304020,2082997956,7/9/2019,2455,2455
6205417550,2082997826,7/9/2019,2515,2515
6214427350,2082995243,7/9/2019,2803.86,2803.86
6214473860,2082995248,7/9/2019,2925.7,2925.7
6214427370,2082995261,7/9/2019,3110.7,3110.7
6214425900,2082995249,7/9/2019,3287.7,3287.7
6194981260,2082995790,7/10/2019,1050,1050
6199347500,2082991025,7/10/2019,1130,1130
6195009700,2082995791,7/10/2019,1192,1192
6207556250,2082991062,7/10/2019,1281,1281
6214514571,2082995788,7/10/2019,1305,1305
6194981251,2082995781,7/10/2019,1482,1482
6199443380,2082992938,7/10/2019,2164,2164
6880394940,2082988567,7/10/2019,2401,2401
6880394950,2082988530,7/10/2019,2401,2401
6880400050,2082988581,7/10/2019,2401,2401
6880400070,2082988555,7/10/2019,2401,2401
6208795780,2082995780,7/10/2019,2580,2580
6214234130,2082992924,7/10/2019,2693,2693
6162762460,2082992943,7/10/2019,3007,3007
6162762470,2082992962,7/10/2019,3007,3007
6189052510,2082994240,7/10/2019,3122,3122
6214514570,2082994192,7/10/2019,3305,3305
6208748230,2082994195,7/10/2019,3405,3405
6207498710,2082990911,7/10/2019,3432,3432
6212835880,2082986521,7/10/2019,4790,4790
6214501070,2082994198,7/10/2019,6580,6580
6214505361,2082994174,7/10/2019,6780,6780
6214505360,2082994190,7/10/2019,11295,11295
6213211080,2082992012,7/10/2019,12682.8,12682.8
6208792334,2082993298,7/11/2019,1050,1050
6204279460,2082995782,7/11/2019,1305,1305
6208748231,2082995787,7/11/2019,1305,1305
6208792332,2082993305,7/11/2019,1305,1305
6165060090,2082993288,7/11/2019,1325,1325
6199807970,2082996961,7/11/2019,2415.06,2415.06
6208687930,2082997530,7/11/2019,2633.06,2633.06
6208710990,2082997519,7/11/2019,2633.06,2633.06
6208753270,2082997552,7/11/2019,2633.06,2633.06
6208758340,2082997481,7/11/2019,2633.06,2633.06
6208762040,2082996912,7/11/2019,2668.06,2668.06
6205428750,2082997468,7/11/2019,2923.06,2923.06
6213861300,2082997173,7/11/2019,2923.06,2923.06
6208790010,2082991143,7/11/2019,3305,3305
6181023840,2082991927,7/11/2019,3336.75,3336.75
6172740930,2082991943,7/11/2019,3435.75,3435.75
6172740940,2082991865,7/11/2019,3435.75,3435.75
6208748220,2082991144,7/11/2019,10155,10155
6208792330,2082991181,7/11/2019,10155,10155
6214296990,2082997350,7/11/2019,11602.24,11602.24
6212513050,2082995120,7/12/2019,4050,4050
8022503320,2082976773,7/13/2019,50,50
8022503329,2082976775,7/13/2019,50,50
8022553110,2082955903,7/13/2019,895.75,895.75
8022542280,2082958492,7/13/2019,1012,1012
8022503960,2082950001,7/13/2019,2665,2665
6205365420,2082998887,7/13/2019,2682,2682
8022503329,2082975571,7/13/2019,4435,4435
6880400080,2082995575,7/14/2019,2401,2401
6205421090,2082995014,7/14/2019,5601.5,5601.5
6213863650,2082998968,7/15/2019,3040,3040
6213863651,2082998882,7/15/2019,3040,3040
8022553800,2082976235,7/16/2019,90,90
8022553808,2082979821,7/17/2019,90,90
8022553809,2082976011,7/17/2019,90,90
8022523340,2082966450,7/18/2019,1015,1015
8022562680,2082966317,7/18/2019,1135,1135
6199808020,2082995526,7/19/2019,3880,3880
8022525730,2082994814,7/20/2019,90,90
8022525730,2082985515,7/20/2019,795,795
8022516660,2082958782,7/20/2019,1158,1158
8022423940,2082970622,7/20/2019,1377,1377
8021553510,2082969962,7/20/2019,4676.5,4676.5
8022556090,2082994392,7/21/2019,50,50
8022596000,2082966633,7/21/2019,815,815
8021539130,2082966518,7/21/2019,842,842
8022513800,2082960112,7/21/2019,1077,1077
8022506780,2082973893,7/21/2019,1585,1585
8022585650,2082966612,7/21/2019,1667,1667
8022556090,2082966603,7/21/2019,1735,1735
8022539250,2082966522,7/21/2019,3135,3135
8022376770,2082950027,7/21/2019,4865,4865
8022570530,2082973917,7/23/2019,755,755
8022471954,2082974469,7/23/2019,1206,1206
8022471953,2082974473,7/23/2019,2411,2411
8022592150,2082970877,7/24/2019,1177,1177
8022585640,2082970065,7/24/2019,1304,1304
8022569151,2082970893,7/25/2019,826.75,826.75
8021549030,2082978429,7/25/2019,851,851
8022547800,2082978489,7/25/2019,1050,1050
8021539120,2082973897,7/25/2019,1135,1135
8022620190,2082982065,7/26/2019,333,333
8022619260,2082978654,7/26/2019,635,635
8021555120,2082978620,7/27/2019,851,851
8022627080,2082984962,7/27/2019,1743,1743
8022569152,2082984965,7/27/2019,1971.5,1971.5
8022553950,2082993612,7/27/2019,7763,7763
8022608140,2082986946,7/28/2019,967,967
8022560510,2082986953,7/28/2019,1285,1285
8022614970,2082994922,7/29/2019,1214,1214
8022605810,2082990488,7/29/2019,1791,1791
8022632601,2082996721,7/30/2019,50,50
8022609370,2082990666,7/30/2019,253,253
8022649660,2082990696,7/30/2019,253,253
8021558430,2082990468,7/30/2019,1847.92,661.92
8022642950,2082985059,7/30/2019,695,695
8021553070,2082990463,7/30/2019,801,801
8022541770,2082990521,7/30/2019,1101,1101
8022597150,2082978847,7/30/2019,1177,1177
8022577470,2082978841,7/30/2019,1937,1937
8022632601,2082991470,7/30/2019,3656,3656
8022503080,2082966758,7/30/2019,3775,3775
8022613670,2082993600,7/30/2019,4801,4801
8022569150,2082993743,7/31/2019,1738.5,1738.5
8022621100,2082982235,7/31/2019,4601,4601
8022567570,2082996122,8/1/2019,739,739
8022553390,2082990701,8/1/2019,765,765
8022327341,2082993752,8/1/2019,1050,1050
8022603060,2082995991,8/1/2019,1172,1172
8022627700,2082996168,8/2/2019,333,333
8022646650,2082993860,8/2/2019,531,531
8022605830,2082996322,8/3/2019,1491,1491
8022556790,2082993826,8/3/2019,1585,1585
8022612130,2082994003,8/5/2019,1481,1481
8022631000,2082993997,8/5/2019,2961,2961
8022585750,2082996305,8/5/2019,3085,3085
8022863270,2082996306,8/6/2019,1304.5,1304.5
8022968360,2082996307,8/7/2019,1030,1030
8021622530,2082996308,8/8/2019,6416,6416
8021628730,2082996309,8/9/2019,2551,2551
